"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3010","Karnataka","Construction of community centers and community halls","WS/MP092/2026-2027/305015","Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","19-Aug-2026","VIJAYANAGARA NIRMITHI KENDRA","Payment Success","15000000"
"3011","Karnataka","Construction of community centers and community halls","WS/MP092/2026-2027/305016","Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","19-Aug-2026","VIJAYANAGARA NIRMITHI KENDRA","Payment Success","15000000"
"3012","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268777","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS SUR SINGH WALA","Payment Success","100000"
"3013","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/282470","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment Success","300000"
"3014","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/271407","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Jul-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment Success","188498"
"3015","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/254487","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","02-Jul-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment Success","400000"
"3016","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/262073","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","23-Mar-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment Success","400000"
"3017","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/254489","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment Success","400000"
"3018","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/162181","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","16-Apr-2026","VENKATAKRISHNA YADAV JENUGU","Payment Success","493187"
"3019","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268825","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS MIHAN SINGH WALA","Payment Success","100000"
"3020","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268833","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS GATTI MASTA NO2","Payment Success","100000"
"3021","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GMS SANTU WALA","Payment Success","100000"
"3022","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268819","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS CHAK KANDHE SHA","Payment Success","100000"
"3023","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268843","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS NOORPUR","Payment Success","100000"
"3024","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS SANDE HASHAM","Payment Success","100000"
"3025","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268846","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS WARA WARYAM SINGH WALA","Payment Success","100000"
"3026","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268844","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GPS SHA ABU BAKAR","Payment Success","100000"
"3027","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268840","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GMS JHTRA","Payment Success","100000"
"3028","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/164182","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","18-Mar-2026","Gagandeep Singh so Ragunath Singh","Payment Success","12000"
"3029","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/164182","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","18-Mar-2026","Gagandeep Singh so Ragunath Singh","Payment Success","24700"
"3030","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/149057","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","20-Mar-2026","gp damari","Payment Success","66230"
"3031","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/149056","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","20-Mar-2026","gp damari","Payment Success","64520"
"3032","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/215933","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","17-Jul-2026","SRIMAA ENTERPRISE","Payment Success","661904"
"3033","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/215933","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","19-Mar-2026","SRIMAA ENTERPRISE","Payment Success","536338"
"3034","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/232982","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","10-Mar-2026","DEVANAND RAY","Payment Success","1493609"
"3035","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18403/2025-2026/226460","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","09-Mar-2026","BAPLA GROUP GRAM PANCHAYAT","Payment Success","500000"
"3036","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18431/2025-2026/260610","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","11-Mar-2026","ANSHUMAN BHATTACHARJEE","Payment Success","605746"
"3037","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18431/2025-2026/260611","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","11-Mar-2026","ANSHUMAN BHATTACHARJEE","Payment Success","381622"
"3038","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP071/2025-2026/182301","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","18-Jul-2026","SINGH ENTERPRISE","Payment Success","50148"
"3039","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/229946","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","10-Mar-2026","VIJAYMAHANTESH BENAKATTI","Payment Success","375000"
"3040","Haryana","Construction of buildings for crèches and anganwadies","WS/MP18425/2025-2026/215059","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","09-Mar-2026","The Madhav Cooperaive Labour and Construction Society","Payment Success","256997"
"3041","Uttarakhand","Development of public parks","WS/MP204/2025-2026/204158","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SANDEEP CHAUHAN","Payment Success","397650"
"3042","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Divya Traders","Payment Success","66000"
