"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"22097","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2026-2027/271814","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","09-May-2026","Anil Electricals","Payment Success","176000"
"22098","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2026-2027/271809","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","09-May-2026","Anil Electricals","Payment Success","176000"
"22099","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2026-2027/271799","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-May-2026","Anil Electricals","Payment Success","176000"
"22100","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2026-2027/271800","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-May-2026","Anil Electricals","Payment Success","176000"
"22101","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192313","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22102","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192314","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22103","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192319","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22104","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192325","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22105","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192326","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22106","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192327","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22107","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192328","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22108","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/192330","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Anil Electricals","Payment Success","618000"
"22109","Bihar","Street lights","WS/MP001/2025-2026/156269","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22110","Bihar","Street lights","WS/MP001/2025-2026/156270","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22111","Bihar","Lighting of public spaces","WS/MP001/2025-2026/188640","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22112","Bihar","Lighting of public spaces","WS/MP001/2025-2026/188639","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22113","Bihar","Street lights","WS/MP001/2025-2026/192333","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22114","Bihar","Street lights","WS/MP001/2025-2026/192334","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","17-Sep-2025","Anil Electricals","Payment Success","1040000"
"22115","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145755","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22116","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145762","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22117","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145757","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22118","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145759","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22119","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145758","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22120","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145760","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22121","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145761","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22122","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/145756","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","11-Feb-2025","Anil Electricals","Payment Success","618000"
"22123","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166097","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22124","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166098","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22125","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166099","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22126","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166100","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22127","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166101","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22128","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166103","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22129","Bihar","Installation of multi-gym equipment","WS/MP001/2024-2025/166102","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Mar-2025","Anil Electricals","Payment Success","618000"
"22130","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/166104","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","176000"
"22131","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/166105","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","176000"
"22132","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/166106","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","176000"
"22133","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/166107","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","88000"
"22134","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/188649","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","176000"
"22135","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/188650","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","176000"
"22136","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP001/2025-2026/188651","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","14-Aug-2025","Anil Electricals","Payment Success","88000"
"22137","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204291","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22138","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204292","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22139","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204293","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22140","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204294","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22141","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204295","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22142","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204296","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22143","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204297","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22144","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204298","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22145","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204282","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22146","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204056","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22147","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204052","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22148","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204053","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22149","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204054","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22150","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/204055","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22151","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/206494","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22152","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/206492","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22153","Bihar","Installation of multi-gym equipment","WS/MP001/2025-2026/206493","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Sep-2025","Anil Electricals","Payment Success","618000"
"22154","Bihar","Lighting of public spaces","WS/MP001/2025-2026/145769","SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","05-Dec-2025","Anil Electricals","Payment Success","1048000"
"22155","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/175532","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","31-Jan-2026","AMN ENTERPRISES","Payment Success","677400"
"22156","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/176353","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","31-Jan-2026","AMN ENTERPRISES","Payment Success","677400"
"22157","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/176354","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","31-Jan-2026","AMN ENTERPRISES","Payment Success","677400"
"22158","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/175533","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","31-Jan-2026","AMN ENTERPRISES","Payment Success","677400"
"22159","Tamil Nadu","Street lights","WS/MP165/2024-2025/96028","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","12-Jul-2024","AMN ENTERPRISES","Payment Success","477476"
"22160","Tamil Nadu","Street lights","WS/MP165/2024-2025/96029","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","12-Jul-2024","AMN ENTERPRISES","Payment Success","480591"
"22161","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/175534","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","04-Feb-2026","AMN ENTERPRISES","Payment Success","677400"
"22162","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/176355","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","04-Feb-2026","AMN ENTERPRISES","Payment Success","677400"
"22163","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/147433","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","16-Oct-2025","LAKSHMIKANTH B T","Payment Success","535573"
"22164","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/147433","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","16-Oct-2025","LAKSHMIKANTH B T","Payment Success","809996"
"22165","Karnataka","Construction of community centers and community halls","WS/MP084/2024-2025/38073","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","09-Dec-2024","LAKSHMIKANTH B T","Payment Success","497100"
"22166","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38103","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Jul-2024","LAKSHMIKANTH B T","Payment Success","499223"
"22167","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38104","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Jul-2024","LAKSHMIKANTH B T","Payment Success","499200"
"22168","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38105","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","22-Jul-2024","LAKSHMIKANTH B T","Payment Success","499200"
"22169","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38106","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Jul-2024","LAKSHMIKANTH B T","Payment Success","498200"
"22170","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38107","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Jul-2024","LAKSHMIKANTH B T","Payment Success","498227"
"22171","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38086","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Jul-2024","LAKSHMIKANTH B T","Payment Success","499000"
"22172","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38076","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","18-Sep-2024","LAKSHMIKANTH B T","Payment Success","499095"
"22173","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38075","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","18-Sep-2024","LAKSHMIKANTH B T","Payment Success","499095"
"22174","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38082","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","LAKSHMIKANTH B T","Payment Success","499096"
"22175","Karnataka","Providing drains and gutters for public drainage","WS/MP084/2024-2025/38001","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","LAKSHMIKANTH B T","Payment Success","499065"
"22176","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/37999","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","LAKSHMIKANTH B T","Payment Success","499095"
"22177","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/147693","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499516"
"22178","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/147683","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499516"
"22179","Karnataka","Lighting of public spaces","WS/MP18364/2024-2025/147443","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499048"
"22180","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/147727","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499458"
"22181","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/147762","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499246"
"22182","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/147681","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","01-Mar-2025","LAKSHMIKANTH B T","Payment Success","499516"
"22183","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230196","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Mar-2026","LAKSHMIKANTH B T","Payment Success","499063"
"22184","Karnataka","Construction of rooms and halls in school and colleges","WS/MP084/2024-2025/38002","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","24-Dec-2024","LAKSHMIKANTH B T","Payment Success","497300"
"22185","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230182","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","LAKSHMIKANTH B T","Payment Success","499389"
"22186","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230180","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","LAKSHMIKANTH B T","Payment Success","499078"
"22187","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227459","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Mar-2026","LAKSHMIKANTH B T","Payment Success","499596"
"22188","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227457","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Mar-2026","LAKSHMIKANTH B T","Payment Success","499596"
"22189","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230192","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Mar-2026","BASAVEGOWDA T M","Payment Success","499078"
"22190","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230197","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","08-May-2026","BASAVEGOWDA T M","Payment Success","499596"
"22191","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/230187","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","08-May-2026","BASAVEGOWDA T M","Payment Success","499596"
"22192","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2026-2027/283875","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","05-Aug-2026","GRAM PANCHAYAT KOLUKHEDIKALAN","Payment Success","450000"
